Subject,Mean_r,Median_r,Q25_r,Q75_r,Minimum_r,SD_r,N_valid,IQR_r
147,0.994936,0.9952222,0.9947803020477295,0.9954326748847961,0.9937632,0.00063658,5,0.995 - 0.995
148,0.9939092,0.99472874,0.9920597076416016,0.9950516223907471,0.9919251,0.0016022525,5,0.992 - 0.995
149,0.99206555,0.9922371,0.9914852380752563,0.9929984211921692,0.99047846,0.0009884197,5,0.991 - 0.993
150,0.9924216,0.99281406,0.9920176267623901,0.993313193321228,0.9904887,0.0010915286,5,0.992 - 0.993
151,0.9953602,0.99542993,0.9952177405357361,0.9957104325294495,0.9945918,0.00044260986,5,0.995 - 0.996
152,0.9941993,0.9941246,0.9938092827796936,0.9951228499412537,0.9925971,0.000988458,5,0.994 - 0.995
153,0.991831,0.9917544,0.9915487170219421,0.9922903776168823,0.99086535,0.0006289974,5,0.992 - 0.992
154,0.9951622,0.9954167,0.9946280121803284,0.9955179691314697,0.99448115,0.00051123725,5,0.995 - 0.996
155,0.9937223,0.993507,0.9934434294700623,0.9942866563796997,0.9929703,0.0005428217,5,0.993 - 0.994
156,0.99382335,0.99464864,0.9946218729019165,0.9950409531593323,0.9896571,0.0020935023,5,0.995 - 0.995
157,0.9928684,0.99309206,0.9926597476005554,0.9932054877281189,0.9918516,0.00058022095,5,0.993 - 0.993
158,0.9936393,0.9936063,0.9930853843688965,0.9942976236343384,0.9925594,0.00076484977,5,0.993 - 0.994
159,0.99331796,0.9931525,0.9929194450378418,0.9934054613113403,0.99255097,0.00068257394,5,0.993 - 0.993
160,0.99248856,0.9929193,0.9914878010749817,0.9930778741836548,0.9911953,0.0009829348,5,0.991 - 0.993
161,0.99414074,0.9939971,0.9938083291053772,0.9947272539138794,0.9933201,0.00057499757,5,0.994 - 0.995
162,0.99375457,0.99377924,0.9932804703712463,0.9939507246017456,0.99262655,0.0008300242,5,0.993 - 0.994
163,0.99355584,0.9937363,0.9932465553283691,0.9939853549003601,0.99271744,0.00051080564,5,0.993 - 0.994
164,0.9823061,0.98530674,0.978202223777771,0.9880664944648743,0.97185355,0.0063540637,5,0.978 - 0.988
165,0.991515,0.9917069,0.9914126992225647,0.9917094111442566,0.99069893,0.00045480052,5,0.991 - 0.992
166,0.9933068,0.99350405,0.9928030967712402,0.9936920404434204,0.99276686,0.0004348381,5,0.993 - 0.994
167,0.9936882,0.99375147,0.9934666752815247,0.9941105842590332,0.9921611,0.00091192895,5,0.993 - 0.994
168,0.99389946,0.99369496,0.9935809969902039,0.994050145149231,0.9932572,0.0005671077,5,0.994 - 0.994
169,0.9940389,0.9942021,0.9937920570373535,0.9943869113922119,0.9934133,0.0003822319,5,0.994 - 0.994
170,0.99154204,0.99137175,0.9913020133972168,0.9919580221176147,0.99098384,0.00041872746,5,0.991 - 0.992
171,0.99329025,0.9932951,0.992830753326416,0.9942800402641296,0.99158704,0.0010446055,5,0.993 - 0.994
172,0.99445075,0.9942389,0.9941165447235107,0.9948750138282776,0.99365586,0.00060140836,5,0.994 - 0.995
173,0.9960227,0.9958984,0.9958570599555969,0.9961040019989014,0.99567413,0.00031019773,5,0.996 - 0.996
174,0.9950072,0.995029,0.9947406053543091,0.9950807690620422,0.99431044,0.00051301613,5,0.995 - 0.995
175,0.99357593,0.9935602,0.9934258460998535,0.9944645166397095,0.9918083,0.0010028852,5,0.993 - 0.994
176,0.9920543,0.9925223,0.9915509819984436,0.9926804900169373,0.99065745,0.0008325166,5,0.992 - 0.993
